Date,Open,High,Low,Close,Volume
2023-01-31,100.13,100.13,96.07,98.15,0
2023-02-28,98.26,102.72,98.26,102.72,0
2023-03-31,102.86,104.21,100.49,100.49,0
2023-04-30,100.17,100.17,98.9,99.35,0
2023-05-31,99.57,100.29,97.62,97.84,0
2023-06-30,97.75,100.3,97.75,100.3,0
2023-07-31,100.3,104.79,100.3,104.79,0
2023-08-31,104.5,104.54,103.02,104.32,0
2023-09-30,105.99,108.8,105.43,105.78,0
2023-10-31,105.41,106.11,104.54,104.63,0
2023-11-30,103.56,107.72,103.56,107.27,0
2023-12-31,105.7,108.24,104.75,107.85,0
2024-01-31,107.03,107.93,104.15,104.22,0
2024-02-29,104.01,107.53,103.88,107.53,0
2024-03-31,107.0,108.43,106.15,108.26,0
2024-04-30,108.37,110.84,108.08,110.84,0
2024-05-31,110.4,113.43,109.69,112.82,0
2024-06-30,112.74,115.01,112.41,114.62,0
2024-07-31,114.31,119.87,114.31,119.3,0
2024-08-31,119.0,127.24,119.0,127.24,0
2024-09-30,128.36,132.96,128.36,131.78,0
2024-10-31,131.71,134.93,130.44,134.93,0
2024-11-30,135.63,138.1,134.52,137.85,0
2024-12-31,136.86,138.74,136.68,138.74,0
2025-01-31,138.71,140.42,135.8,139.98,0
2025-02-28,139.61,148.15,139.61,147.33,0
2025-03-31,147.46,147.63,142.26,144.53,0
2025-04-30,144.88,146.7,141.29,144.09,0
2025-05-31,145.31,152.63,144.54,151.75,0
2025-06-30,151.87,156.33,151.13,155.83,0
2025-07-31,153.99,154.05,150.82,150.82,0
2025-08-31,151.49,156.01,150.48,155.56,0
2025-09-30,155.22,161.71,155.22,160.28,0
2025-10-31,161.13,169.39,160.97,167.79,0
2025-11-30,165.86,166.26,162.91,165.55,0
2025-12-31,169.89,169.89,162.89,166.24,0
2026-01-31,165.32,173.85,162.86,173.85,0
2026-02-28,173.46,194.81,172.71,194.81,0
2026-03-31,194.96,196.25,187.92,191.47,0
2026-04-30,191.49,192.21,186.29,190.82,0
2026-05-31,191.18,199.55,189.4,199.55,0
2026-06-30,200.18,212.45,200.18,212.45,0
2026-07-31,214.62,230.73,214.62,230.08,0
2026-08-31,231.45,249.97,229.4,249.97,0
