Date,Open,High,Low,Close,Volume
2025-01-06,99.99,100.14,99.95,99.95,
2025-01-13,100.57,100.61,98.27,100.61,
2025-01-20,98.48,100.89,98.48,99.93,
2025-01-27,99.93,102.4,99.93,102.4,
2025-02-03,103.36,103.36,102.1,102.2,
2025-02-10,102.78,103.83,102.29,102.29,
2025-02-17,102.79,103.66,102.47,102.47,
2025-02-24,102.56,106.36,102.56,105.31,
2025-03-03,103.13,103.88,103.13,103.62,
2025-03-10,101.82,101.82,100.33,100.33,
2025-03-17,99.9,99.9,98.8,99.0,
2025-03-24,98.07,98.07,90.0,91.17,
2025-03-31,91.06,93.84,91.06,93.84,
2025-04-07,95.36,96.19,95.11,95.66,
2025-04-14,95.36,97.47,93.84,93.97,
2025-04-21,93.67,94.99,90.4,90.4,
2025-04-28,92.83,93.62,92.43,92.43,
2025-05-05,94.04,96.06,94.04,95.87,
2025-05-12,97.59,99.53,97.59,99.53,
2025-05-19,99.54,99.63,99.31,99.31,
2025-05-26,98.84,99.17,96.69,96.69,
2025-06-02,97.25,97.34,97.11,97.32,
2025-06-09,97.27,97.27,96.62,96.62,
2025-06-16,97.22,97.84,96.33,96.33,
2025-06-23,97.59,98.35,97.23,97.23,
2025-06-30,97.44,98.19,96.01,97.63,
2025-07-07,95.5,95.56,93.84,94.66,
2025-07-14,93.85,94.16,92.48,92.48,
2025-07-21,94.01,96.03,93.29,93.29,
2025-07-28,93.83,93.83,92.17,92.17,
2025-08-04,92.52,92.57,92.05,92.36,
2025-08-11,91.54,92.11,91.54,92.02,
2025-08-18,92.01,93.32,92.01,93.19,
2025-08-25,93.71,93.83,92.94,93.22,
2025-09-01,94.79,94.79,93.87,94.42,
2025-09-08,94.34,94.71,94.34,94.44,
2025-09-15,94.26,94.64,93.9,94.45,
2025-09-22,94.94,95.9,94.94,94.99,
2025-09-29,95.06,95.39,94.64,94.68,
2025-10-06,94.91,96.62,94.48,96.62,
2025-10-13,95.99,96.32,95.39,95.39,
2025-10-20,94.77,97.25,94.77,97.25,
2025-10-27,97.09,97.69,96.72,97.27,
2025-11-03,96.38,96.38,95.22,95.22,
2025-11-10,95.17,95.7,94.24,94.24,
2025-11-17,94.93,94.93,93.87,94.29,
2025-11-24,93.35,95.12,93.35,93.91,
2025-12-01,94.7,98.8,94.7,98.8,
2025-12-08,96.8,97.25,96.77,96.77,
2025-12-15,96.89,96.95,95.41,95.43,
2025-12-22,94.63,94.97,92.92,93.7,
2025-12-29,93.48,93.58,93.02,93.02,
2026-01-05,91.74,94.9,91.74,92.06,
2026-01-12,93.5,93.52,92.94,92.94,
2026-01-19,92.78,94.38,92.78,94.38,
2026-01-26,93.75,94.6,93.75,94.12,
2026-02-02,94.29,97.48,94.29,97.32,
2026-02-09,97.85,99.58,97.85,99.58,
2026-02-16,99.61,101.16,99.61,101.16,
2026-02-23,101.42,103.87,98.8,103.87,
2026-03-02,104.1,105.36,104.1,104.92,
2026-03-09,106.24,106.24,104.17,104.79,
2026-03-16,104.2,104.2,103.26,103.26,
2026-03-23,103.41,103.41,99.44,99.44,
2026-03-30,100.6,102.95,99.92,101.1,
2026-04-06,103.81,103.81,103.21,103.21,
2026-04-13,103.68,103.68,102.11,102.11,
2026-04-20,101.74,102.55,100.04,101.49,
2026-04-27,101.68,101.97,100.81,100.81,
2026-05-04,102.48,103.03,101.47,103.01,
2026-05-11,102.82,103.31,102.52,103.2,
2026-05-18,102.85,104.39,102.85,104.39,
2026-05-25,104.71,104.8,103.74,103.74,
2026-06-01,104.08,105.01,104.08,104.91,
2026-06-08,103.87,110.06,103.87,105.22,
2026-06-15,104.87,104.87,103.69,104.27,
2026-06-22,103.98,106.91,103.66,106.91,
2026-06-29,107.0,108.0,105.43,106.62,
2026-07-06,107.15,109.51,107.15,107.83,
2026-07-13,107.7,111.03,107.7,109.47,
2026-07-20,111.1,112.06,111.1,111.99,
2026-07-27,110.68,112.85,110.68,111.9,
2026-08-03,111.9,112.94,111.9,112.94,
2026-08-10,113.65,114.76,111.9,114.76,
2026-08-17,114.9,119.05,114.9,119.05,
2026-08-24,121.51,135.97,121.51,135.59,
2026-08-31,130.75,136.57,130.75,135.21,
2026-09-07,137.43,137.43,136.18,136.18,
