Date,Open,High,Low,Close,Volume
2025-01-31,99.99,103.36,98.27,102.47,
2025-02-28,102.2,106.36,102.2,103.88,
2025-03-31,103.62,103.62,90.0,93.84,
2025-04-30,95.36,97.47,90.4,94.24,
2025-05-31,96.06,99.63,95.87,97.34,
2025-06-30,97.32,98.35,96.01,97.63,
2025-07-31,95.5,96.03,92.05,92.05,
2025-08-31,92.57,94.79,91.54,94.72,
2025-09-30,94.42,95.9,93.9,94.91,
2025-10-31,95.56,97.69,94.48,95.46,
2025-11-30,95.22,96.88,93.35,95.13,
2025-12-31,98.8,98.8,91.74,94.9,
2026-01-31,94.05,97.48,92.06,97.48,
2026-02-28,97.32,105.36,97.32,105.21,
2026-03-31,104.92,106.24,99.44,103.81,
2026-04-30,103.8,103.8,100.04,103.03,
2026-05-31,103.01,105.01,102.52,105.01,
2026-06-30,104.91,110.06,103.66,107.15,
2026-07-31,108.55,112.93,107.7,112.93,
2026-08-31,112.94,136.57,111.9,135.21,
2026-09-30,137.43,138.93,136.18,138.93,
